Url,Title,Country,City,IP,Port,Server,Protocol
139.196.224.137:9080,YONYOU NC,China,,139.196.224.137,9080,WebSphere Application Server/8.5,
125.71.31.7:9080,YONYOU NC,China,Chengdu,125.71.31.7,9080,WebSphere Application Server/8.5,
106.14.162.94:8099,YONYOU NC,China,,106.14.162.94,8099,Apache-Coyote/1.1,
113.106.0.152:8086,YONYOU NC,China,Zhongshan,113.106.0.152,8086,Apache-Coyote/1.1,
122.224.20.150:8088,Yonyou UAP,China,,122.224.20.150,8088,Apache-Coyote/1.1,
60.191.97.34:10000,YONYOU NC,China,Hangzhou,60.191.97.34,10000,Apache-Coyote/1.1,
60.191.97.34:8090,YONYOU NC,China,Hangzhou,60.191.97.34,8090,Apache-Coyote/1.1,
218.103.95.187:8888,YONYOU NC,Hong Kong,Kowloon,218.103.95.187,8888,Apache-Coyote/1.1,
47.96.248.250:9090,YONYOU NC,China,,47.96.248.250,9090,Apache-Coyote/1.1,
106.15.103.90:8888,YONYOU NC,China,,106.15.103.90,8888,Apache-Coyote/1.1,
47.111.143.49:8080,YONYOU NC,China,,47.111.143.49,8080,Apache-Coyote/1.1,
58.67.158.157:9999,YONYOU NC,China,,58.67.158.157,9999,Apache-Coyote/1.1,
14.23.157.82:8080,YONYOU NC,China,Guangzhou,14.23.157.82,8080,IBM_HTTP_Server,
222.185.124.54:8099,YONYOU NC,China,Changzhou,222.185.124.54,8099,Apache-Coyote/1.1,
222.184.237.237:8001,YONYOU NC,China,Changzhou,222.184.237.237,8001,Apache-Coyote/1.1,
211.147.75.208:9080,Yonyou NC,China,,211.147.75.208,9080,Apache-Coyote/1.1,
222.85.180.196:9080,YONYOU NC,China,Guiyang,222.85.180.196,9080,,
47.97.171.74,YONYOU NC,China,,47.97.171.74,80,IBM_HTTP_Server,
60.190.12.50:9090,YONYOU NC,China,Ningbo,60.190.12.50,9090,Apache-Coyote/1.1,
122.225.77.118:8001,YONYOU NC,China,Haining,122.225.77.118,8001,Apache-Coyote/1.1,
122.225.77.118:8000,Yonyou UAP,China,Haining,122.225.77.118,8000,Apache-Coyote/1.1,
